Quality Angle(degree) Distance(mm)
15 357.78125 227.0
15 358.015625 226.75
9 272.125 2746.5
15 274.609375 875.25
15 274.84375 2968.5
12 277.25 964.5
15 278.421875 1088.0
15 280.25 827.0
15 284.625 2754.25
14 288.5625 4746.5
15 291.859375 664.5
15 291.5625 2880.5
15 293.828125 1008.25
15 302.703125 3081.75
15 304.4375 1757.0
15 308.953125 1309.75
15 310.4375 1196.0
15 314.421875 1362.75
15 315.171875 3869.25
15 317.203125 1401.5
15 323.625 281.75
7 344.046875 232.75
7 346.265625 232.5
10 345.921875 230.75
13 347.921875 231.5
15 350.453125 230.25
15 350.578125 229.0
15 353.0 229.25
15 354.65625 228.25
15 355.21875 228.0
15 355.90625 227.75
