Quality Angle(degree) Distance(mm)
12 358.234375 244.5
11 358.109375 245.5
15 264.625 2086.25
15 266.03125 2098.0
15 268.546875 820.75
15 268.921875 2122.0
15 273.796875 1111.5
15 277.859375 1276.0
15 281.875 1778.75
15 284.25 821.5
15 286.5625 572.5
15 286.21875 1647.25
15 293.0 2615.0
15 295.25 1037.75
15 296.734375 1062.5
15 301.96875 1747.25
15 307.59375 2064.25
7 333.296875 245.75
8 334.734375 244.5
10 336.171875 242.75
11 336.296875 243.25
13 338.53125 241.5
15 339.296875 240.75
15 341.5 240.5
15 343.34375 239.5
15 344.21875 239.75
15 346.21875 239.25
15 347.328125 239.5
15 348.671875 239.25
15 350.515625 239.75
15 351.953125 240.25
15 352.078125 240.5
15 353.921875 241.0
15 355.359375 242.5
