Quality Angle(degree) Distance(mm)
10 358.453125 243.75
9 358.25 243.25
15 213.21875 507.25
15 215.265625 2673.75
15 216.703125 2625.25
15 219.609375 2521.5
15 223.984375 2382.25
15 226.859375 2321.5
15 228.515625 1767.0
15 229.765625 2249.0
15 231.21875 2220.5
15 232.65625 2201.0
15 234.09375 2177.0
15 235.53125 2154.25
15 236.96875 2138.5
15 238.421875 2120.0
15 239.859375 2099.25
15 242.84375 651.25
15 244.1875 648.0
15 245.765625 643.75
15 247.125 641.25
15 248.609375 638.25
15 250.0625 636.0
15 251.640625 634.75
15 253.046875 634.0
15 255.796875 633.75
15 257.1875 634.5
15 260.15625 636.0
15 261.546875 635.5
15 262.96875 637.5
15 268.640625 2053.75
15 271.921875 577.25
15 272.921875 2091.0
15 275.796875 2129.75
15 277.203125 2145.5
15 278.65625 2167.5
15 280.078125 2181.0
15 284.359375 2276.25
15 285.796875 2312.25
15 289.015625 1507.0
15 291.09375 903.75
15 292.421875 942.25
15 295.3125 969.5
15 303.703125 1190.5
15 305.375 971.0
15 306.8125 1026.25
9 330.21875 246.0
9 331.40625 243.75
11 334.03125 242.0
12 335.28125 241.75
15 337.265625 242.25
15 339.03125 240.75
15 340.46875 239.5
15 340.125 239.5
15 341.6875 238.75
15 344.046875 238.5
15 346.21875 238.5
15 347.671875 238.75
15 348.1875 239.25
15 349.015625 239.75
15 351.078125 240.25
15 351.515625 241.0
15 354.84375 242.0
13 355.25 242.75
