Quality Angle(degree) Distance(mm)
15 358.3125 242.0
15 359.171875 247.5
15 1.15625 248.0
15 1.6875 249.25
15 2.90625 250.25
11 4.84375 254.5
9 7.140625 210.75
15 11.671875 254.5
15 12.515625 261.5
9 18.546875 430.0
15 27.65625 392.75
11 32.21875 471.25
15 38.328125 222.5
12 36.203125 477.75
9 43.21875 443.5
8 78.0625 125.75
9 80.28125 126.5
12 83.09375 126.75
12 81.96875 127.0
14 83.28125 127.75
14 85.96875 127.75
15 87.734375 128.25
15 89.0625 129.0
15 90.28125 129.5
15 89.828125 129.5
15 92.09375 130.5
15 93.078125 131.0
15 94.203125 132.0
15 95.890625 132.75
15 96.328125 133.75
15 98.5 135.25
15 98.921875 137.25
15 101.109375 140.0
15 102.65625 143.0
15 108.859375 210.0
15 108.609375 299.0
15 110.296875 296.0
15 111.140625 297.5
15 112.984375 299.75
15 114.078125 305.5
15 115.0625 309.75
15 115.984375 319.25
15 117.546875 301.5
15 119.03125 303.5
10 120.265625 299.75
15 121.25 312.5
15 122.6875 317.0
15 124.3125 322.5
15 124.875 329.0
15 126.125 336.5
15 130.1875 327.0
15 131.375 332.0
15 133.109375 332.25
10 133.859375 341.0
13 148.859375 644.5
15 150.046875 705.75
15 151.046875 787.0
15 152.40625 788.25
15 153.796875 780.25
15 154.9375 785.0
15 156.40625 794.0
15 157.609375 805.25
15 158.921875 816.75
15 160.15625 824.25
15 161.46875 829.25
15 163.109375 690.5
15 164.484375 696.75
15 168.046875 845.75
15 169.359375 848.25
15 170.515625 852.0
15 171.90625 857.0
15 173.203125 846.25
15 174.59375 823.75
15 175.953125 808.25
15 177.65625 658.25
15 178.9375 642.0
15 180.3125 618.5
15 182.453125 484.0
15 183.90625 469.5
15 185.140625 469.25
15 186.65625 445.25
15 187.875 440.5
15 189.375 429.0
15 190.59375 427.75
15 192.046875 426.5
15 193.015625 427.25
15 194.625 427.5
15 195.640625 431.0
15 197.09375 438.75
15 198.171875 449.0
15 199.328125 460.0
15 200.5625 478.25
12 204.046875 558.5
9 205.265625 581.5
15 206.546875 583.75
15 207.859375 579.5
15 209.171875 574.0
15 210.4375 574.5
15 211.734375 582.75
15 213.03125 593.0
15 214.203125 645.0
15 220.5625 1854.0
15 221.859375 1894.75
15 224.046875 3917.75
15 225.21875 6578.75
15 227.109375 1705.25
15 230.640625 3032.75
15 231.9375 3238.0
15 233.234375 3241.0
15 234.546875 3179.0
8 235.875 2929.5
15 237.21875 2852.0
15 238.53125 2809.25
15 239.828125 2780.75
15 241.109375 2783.75
15 242.421875 2931.75
15 245.046875 2719.25
15 246.375 2694.5
15 248.234375 1301.5
15 249.53125 1337.75
15 250.71875 1426.25
13 252.046875 1484.0
15 256.71875 3571.25
11 265.96875 2683.75
15 267.265625 2665.75
15 269.0625 1399.5
15 270.375 1393.5
15 274.96875 2810.75
15 276.796875 1407.5
15 279.34375 668.25
15 280.578125 649.75
15 281.96875 642.25
15 283.140625 643.75
15 284.578125 648.5
15 285.75 661.25
15 287.84375 514.0
15 288.96875 492.25
15 290.515625 483.5
15 291.734375 478.75
15 293.125 474.75
15 294.3125 472.5
15 295.6875 468.75
15 297.140625 468.25
15 298.515625 473.5
15 299.640625 500.25
15 300.5625 530.0
15 301.90625 534.5
15 303.046875 543.5
15 304.40625 557.5
15 305.65625 582.5
15 306.96875 590.75
15 308.140625 602.75
15 309.203125 651.5
15 310.40625 653.25
15 311.6875 662.5
15 313.09375 666.25
15 314.25 700.25
15 315.5 724.25
15 316.8125 743.0
15 318.140625 730.0
15 319.296875 729.25
15 320.671875 720.25
15 322.03125 722.75
15 323.1875 730.5
15 331.734375 1159.25
15 333.0 1139.25
15 334.359375 1138.0
15 335.609375 1138.0
15 336.90625 1133.0
15 338.3125 1111.0
15 339.609375 1077.25
15 340.921875 1061.0
15 347.359375 266.75
15 347.671875 261.75
15 349.375 254.75
15 350.34375 249.5
15 352.578125 246.5
15 353.296875 245.25
15 355.171875 247.75
